employee_id,作業日,department,project_code,作業時間,コスト,ステータス,メモ
E0041,2026-04-03,HR, Internal ,N/A,不明,確認中,入力確認
E0044,2026-04-03,人事,internal,7.5,"¥18,000",rework,重複確認
 emp-0081 ,2026-04-03,開発,internal,7.5,15000,pending,重複確認
E0012,2026-04-03,accounting,A100,8,15000,完了,要確認
E0112,2026-04-03,sales, Internal ,-2,"20,000円",確認中,重複確認
E0079,2026-04-03, Sales ,社内,N/A,12000,pending,要確認
E0103,2026-04-03,営業,社内,6,15000,rework,重複確認
E0102,2026-04-03,開発,A100,7.5,"¥18,000",完了,
E0107,2026-04-03,accounting,C300,8,"20,000円",完了,要確認
E0066,2026-04-03, Sales , Internal ,9時間,12000,確認中,
E0075,2026-04-03,ＤＥＶ,B200,8,"20,000円",完了,要確認
E0090,2026-04-03,HR, Internal ,8,"20,000円",完了,要確認
e0116,2026-04-03,経理,社内,9時間,12000,done,要確認
E0105,2026-04-03,経理,社内,-2,"20,000円",pending,入力確認
